Term,Definition,Comments/adjustments,Source Attribution,Source Comments
IEC,International Electrotechnical Commission.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Immersion Cooling,A cooling technique that involves submerging electronic components in a dielectric fluid to absorb and dissipate heat within a preset temperature range.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
Indium Foil,"A soft, malleable, and thermally conductive material often used as a thermal interface material (TIM) in immersion cooling applications due to its compatibility with dielectric fluids and excellent heat transfer properties.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Information Technology (IT),"The use of computers, software, networks, and databases in the storing, processing, transmitting, and retrieving of information.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Information Technology Equipment (ITE),"The physical hardware and devices such as computers, servers, networking devices, and peripherals used in information technology for data management and processing.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Ingress Protection (IP),"This is a standard used to define levels of sealing effectiveness of electrical enclosures against intrusion from foreign bodies (tools, dirt, etc.) and moisture. It is defined in the international standard EN 60529 (British BS EN 60529:1992, European IEC 60509:1989). ",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Ingress Protection (IP) Rating,"An international standard (IEC 60529) used to rate the degree of protection or sealing effectiveness in electrical enclosures against intrusion of objects, water, dust or accidental contact.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Insulation,Materials or techniques used to reduce the transfer of energy between two objects or environments.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
IP (Ingress Protection),"Refer to ""Ingress Protection""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
ISO,"International Organization for Standardization, a global organization that develops and publishes international standards for various industries and sectors.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
IT (Information Technology),"Refer to ""Information Technology""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
ITE (Information Technology Equipment),"Refer to ""Information Technology Equipment""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Joule Heating,The generation of heat in a conductor due to the resistance of the material and the flow of electric current through it.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
K (Kelvin),"Refer to ""Kelvin""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Kelvin (K),The SI unit of thermodynamic temperature.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
key performance indicator (KPI),A measurable value that demonstrates how effectively an organization is achieving key business objectives.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
kg (Kilogram),"Refer to ""Kilogram""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Kilogram (kg),The SI unit of mass.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Kilopascal  (kPa),The SI unit of pressure.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Kilowatt (kW),A measure of 1 000 watts of electrical power.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Kilowatt-hour (kWh),"A measure of electrical energy equivalent to a power consumption of 1,000 watts for 1 hour.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
kPa (Kilopascal ),"Refer to ""Kilopascal """,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
KPI (key performance indicator),"Refer to ""key performance indicator""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
kW (Kilowatt),"Refer to ""Kilowatt""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
kWh (Kilowatt-hour),"Refer to ""Kilowatt-hour""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
L (Liters),"Refer to ""Liters""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
L-A,"Refer to ""Liquid-to-Air Heat Exchanger""",,,
L-L,"Refer to ""Liquid-to-Liquid Exchanger""",,,
L/m (Liters per minute),"Refer to ""Liters per minute""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Laminar Flow,"A flow regime characterized by smooth and orderly fluid motion, with minimal mixing and disruption of boundary layers, which can result in lower heat transfer rates compared to turbulent flow.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Latent Heat,"The heat absorbed or released by a substance during a phase change, such as the transition from a solid to a liquid or from a liquid to a gas.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Latent Heat of Vaporization,The amount of heat required to change a substance from the liquid phase to the vapor phase at a constant temperature.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Liquid,A state of matter that has a definite volume but no fixed shape. It is characterized by its ability to flow and take the shape of the container it is placed in.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Liquid Cooling,A method of cooling which uses liquid to extract heat from components without using air as a medium.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Liquid-to-Air Heat Exchanger (L-A),"A device that transfers heat from a liquid coolant to the surrounding air, often used in liquid cooling systems.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Liquid-to-Liquid Heat Exchanger (L-L),"A device that transfers heat between two liquid coolant streams without mixing the fluids, often used in cooling systems to separate primary and secondary coolant loops.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Liters (L),The SI unit of volume.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Liters per minute (L/m),"A unit of measurement for flow rate, specifically the volume of liquid (in liters) that passes a given point in a minute.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
m (Meter),"Refer to ""Meter""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Maintenance Window,"A scheduled period of time during which maintenance tasks, such as updates, repairs, or replacements, can be performed on a system without causing disruption.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Manufacturer,"An individual, group, or company that owns or runs a manufacturing plant.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Manufacturing bill of materials (MBOM),"A detailed list of parts, items, assemblies, and other materials required to produce a shippable product, including packaging, and accounts for waste and items consumed in the production process.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Material Compatibility,the ability of different materials to exist or function together without mutual detrimental effects.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Material Safety Data Sheet (MSDS),A document that lists information relating to occupational safety and health for the use of chemicals.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
MBOM (Manufacturing bill of materials),"Refer to ""Manufacturing bill of materials""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Megawatt (MW),a measure of 1 000 000 (million) watts of electrical power.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Megawatt-hour (MWh),a measure of electrical energy equivalent to a power consumption of 1 000 000 (million) watts of electrical power for 1 hour.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Meter (m),the SI unit of length.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Microchannel Heat Sink,A heat sink containing microchannels that increase the surface area in contact with a coolant and enhance heat transfer.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Microchannels,"Small channels or passages within a heat exchanger, cold plate, or other cooling device that increase the surface area in contact with a coolant and enhance heat transfer.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Mineral Oil,"A type of dielectric fluid derived from petroleum, used in immersion cooling applications due to its insulating properties and relatively low cost.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Mist,Liquid droplets of a substance or mixture suspended in a gas (usually air).,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Motherboard,The primary circuit board inside a computer.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
MSDS (Material Safety Data Sheet),"Refer to ""Material Safety Data Sheet""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
MTCO2e,"Metric Tons of carbon dioxide equivalent, a unit of measurement that allows the effect of different greenhouse gases and other factors to be compared using carbon dioxide as a standard.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
MW (Megawatt),"Refer to ""Megawatt""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
MWh (Megawatt-hour),"Refer to ""Megawatt-hour""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Nanofluids,"Engineered fluids containing nanoparticles, which can exhibit enhanced thermal conductivity and heat transfer properties compared to conventional fluids.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
National Fire Protection Association (NFPA),"global scale non profit association advocating for the elimination of death, injury, property, and economic loss due to fire, electrical, and related hazards",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP Fluids safe handling draft 11/28/23 by RWL
NCG (Non-Condensable Gas),"Refer to ""Non-Condensable Gas""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
NEMA,"National Electrical Manufacturers Association, a trade association that develops standards for electrical equipment and systems.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Network Interface Card (NIC),An adapter circuit board installed in a computer to provide a physical connection to a network.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Network Switch,"A networking device that connects multiple devices together on a computer network by using packet switching to receive, process, and forward data to the destination device.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
NFPA (National Fire Protection Association),"Refer to ""National Fire Protection Association""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP Fluids safe handling draft 11/28/23 by RWL
NGO,Non-Governmental Organization.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
NIC (Network Interface Card),"Refer to ""Network Interface Card""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Non-Condensable Gas (NCG),"A gas that does not condense under the conditions of a cooling system, which can reduce the efficiency of heat transfer processes involving phase changes, such as two-phase immersion cooling.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
OBI (Open Bath Immersion),"Refer to ""Open Bath Immersion""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
OCP (Open Compute Project Foundation),"Refer to ""Open Compute Project Foundation""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
ODM (Original Design Manufacturer),"Refer to ""Original Design Manufacturer""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
OEM (Original Equipment Manufacturer),"Refer to ""Original Equipment Manufacturer""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Open Bath (OB),"An Open Bath refers to a type of immersion cooling setup where multiple pieces of Information Technology (IT) equipment are submerged together in a shared, open-to-air cooling liquid bath with an open-to-air interface of the fluid.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Open Compute Project Foundation (OCP),A Delaware nonprofit nonstock corporation based in Texas. Also referred to as a collaborative community focused on redesigning hardware technology to efficiently support the growing demands on compute infrastructure.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Open-loop System,"A type of cooling mechanism where the cooling medium, typically water, is exposed to the environment during its heat exchange process.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Operating Humidity Range,"The acceptable range of humidity levels in which a piece of hardware, device, system, or process can operate without experiencing degradation in performance, reliability, or longevity.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Operating pressure,the pressure at which a system or a part of a system operates under normal or specified conditions.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Operating Temperature Range,"This is the safe temperature range in which a piece of hardware, device, system, or process can operate without experiencing degradation in performance, reliability, or longevity.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Original Design Manufacturer (ODM),"An ODM is a company that designs and manufactures a product specified by another company, which subsequently sells the product under its own brand name.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Original Equipment Manufacturer (OEM),"An OEM is a company that produces and sells products or parts of a product that their buyer, another company, uses in its own products. These products or parts are incorporated into the buyer's end product, and it is rebranded or co-branded as such.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Overclocking,"The practice of increasing the operating frequency of a processor or other electronic component beyond its specifications to achieve higher performance, which can result in increased heat output and cooling requirements.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Owner,"The individual, company, or organization that has purchased and holds legal ownership. A significant point to note is that the Owner may not necessarily be the original Buyer, which can in some cases impact the Warranty.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
Oxidation Stability,A fluid's resistance to oxidative degradation over time.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
P-T (Pressure-temperature),"Refer to ""Pressure-temperature""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
PAO (Polyalphaolefins),"Refer to ""Polyalphaolefins""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP Fluids safe handling draft 11/28/23 by RWL
Parallel Flow,"A flow arrangement in which multiple fluid streams flow in the same direction, often used in heat exchangers and cooling systems to optimize heat transfer.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Partial Immersion,A cooling technique in which only a portion of the electronic components is submerged in a dielectric fluid to absorb and dissipate heat.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Partial vacuum,A coolant system which runs below environment pressure (partial vacuum) to prevent water leaking outward when a leak occurs.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Passively Cooled,"A cooling method that relies on natural convection or radiation to dissipate heat, without the use of fans, pumps, or other active components.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
PCB (Printed Circuit Board),"Refer to ""Printed Circuit Board""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
PCBA (Printed Circuit Board Assembly),"Refer to ""Printed Circuit Board Assembly""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
PCM (Phase Change Material),"Refer to ""Phase Change Material""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
PDU (power distribution unit),"Refer to ""power distribution unit""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Peltier Effect,"A thermoelectric effect in which a temperature difference is created by applying a voltage across two different materials, often used in solid-state cooling applications.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Perfluorocarbons (PFCs),"Compounds consisting of carbon and fluorine. They're used as coolants in immersion cooling due to their high thermal stability and electrical insulating properties. However, they're powerful greenhouse gases with a high global warming potential.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Personal protective equipment (PPE),"protective clothing, helmets, goggles, or other garments or equipment designed to protect the wearer's body from injury or infection.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
PFAS,per- and polyfluoroalkyl substances or Perfluorocarbons (PFCs) are a group of chemicals composed of carbon and fluorine. They are known for their exceptional stability and inertness due to the strong carbon-fluorine bonds. ,,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Promersion 
PFCs (Perfluorocarbons),"Refer to ""Perfluorocarbons""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Phase Change Material (PCM),"A substance that absorbs and releases heat during its phase transition, often used in cooling applications to store and release heat.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Polyalphaolefins (PAO),Polyalphaolefins (PAOs) are synthetic hydrocarbons commonly used as base fluids in the formulation of lubricants. They are manufactured through the polymerization of alpha-olefin molecules.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Promersion
Pour point,The temperature below which the liquid loses its flow characteristics.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
power distribution unit (PDU),A device used to manage and distribute electric power.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Power factor,The ratio of real power (kilowatt) to apparent power kilovolt-ampere for any given load and time.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Power Supply Unit (PSU),A device that converts the electrical power from the mains supply into the appropriate voltage and current levels required by electronic components.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Power usage effectiveness (PUE),A datacenter metric used to describe facility overhead power defined as the energy entering the facility divided by the energy used by the IT equipment.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
PPE,"Refer to ""Personal protective equipment (PPE)""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Pressure Drop,"The decrease in pressure that occurs as a fluid flows through a system, such as a cooling loop or heat exchanger, due to friction and other factors.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
pressure per square inch (psi),a unit of pressure (non-SI).,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Pressure-temperature (P-T) Relationship,"The relationship between the pressure and temperature of a fluid, which can affect its phase behavior and heat transfer properties.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Primary Coolant,"The fluid that is in direct contact with the heat-generating components in a cooling system, responsible for absorbing and transferring heat away from those components.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Printed Circuit Board (PCB),A flat panel that holds and connects the various electronic components in a device.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Printed Circuit Board Assembly (PCBA),"A printed circuit board (PCB) that has been assembled with electronic components, like resistors, transistors, capacitors, ICs (Integrated Circuits), connectors, etc. This assembly process includes soldering the components onto the PCB and may also involve programming firmware into the board.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Product,"Something that is made to be sold, usually something that is produced by an industrial process or, less commonly, something that is grown or obtained through farming.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
psi (pressure per square inch),"Refer to ""pressure per square inch""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
PSU (Power Supply Unit),"Refer to ""Power Supply Unit""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
PUE (Power usage effectiveness),"Refer to ""Power usage effectiveness""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Pump Control,The process of monitoring and adjusting the operation of pump systems to optimize cooling performance.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Pumped Liquid Cooling,"A method of liquid cooling that uses pumps to circulate the coolant through a loop, passing through a heat source and a heat sink.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Pumped Refrigerant Cooling,"A method of liquid cooling that uses a refrigerant, rather than water or another dielectric fluid, as the coolant.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Radiator,A heat exchanger used to dissipate heat by radiation from a coolant into the surrounding environment.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
RDHx,"Refer to ""Rear Door Heat eXchanger (RDHx)""",,,
Rear Door Heat eXchanger (RDHx),A type of Door Heat eXchanger in which the door is mounted to the back of the computer rack.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Redfish,Redfish is an open industry standard specification and schema designed for the management of platforms.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Redundancy,"The inclusion of additional components, systems, or processes to ensure continued operation in the event of a failure or fault.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Refrigeration Cycle,"A thermodynamic cycle that transfers heat from a lower-temperature region to a higher-temperature region, often used in cooling systems to maintain a stable operating temperature.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Reliability,"The ability of a system, component, or piece of equipment to perform its designated function without failure or degradation under specified conditions over a specified period of time.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Retailer,"A person, shop, or business that sells goods to the public.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
Reviewer (OCP contribution context),"Individual who is responsible for critically evaluating the document or contribution's content for accuracy, clarity, quality, and coherence.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Promersion
Risk,the potential for an undesirable outcome or event occurring.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
s (Second),"Refer to ""Second""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Safety Data Sheet (SDS),A document that provides detailed information about a specific substance or mixture used in workplaces.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Sales bill of materials (SBOM),"A detailed list of parts, items, assemblies, materials, and other related services (e.g., warranty) derived from the sales order. It details how the finished product and components are grouped or packaged for sale, as they appear in the sales record.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Sales Contract,"A contract under which Seller transfers or agrees to transfer the ownership of Product to a Buyer and the Buyer agrees to pay a price, for everything included in the contract.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
SBOM (Sales bill of materials),"Refer to ""Sales bill of materials""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
SDS (Safety Data Sheet),"Refer to ""Safety Data Sheet""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
SEC (United States Securities and Exchange Commission),"Refer to ""United States Securities and Exchange Commission""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Second (s),The SI unit of time.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Secondary Coolant,A fluid used in an indirect cooling system to transfer heat between the primary coolant and the heat sink or heat exchanger.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Seller,"A trader who offers to transfer the ownership of goods to a Buyer if the Buyer agrees to pay a price, for everything included in the Sales Contract which may or may not include a Warranty.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
Server,"A server is a computer, device or program that is dedicated to managing network resources and providing services to other computers and devices.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Server Cooling,The process of managing and maintaining the operating temperature of servers and its components to ensure reliable performance and prevent thermal-related failures.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Server Rack,"A structure used to house and organize servers, switches, storage devices, and other IT equipment. Sometimes referred to as a cabinet.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Server Room,A dedicated space within a building or facility used to house servers and other IT equipment.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
SF6 (Sulfur hexafluoride),"Refer to ""Sulfur hexafluoride""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
SI (System Integrator),"Refer to ""System Integrator""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
SI (Système international d’unités/International System of Units),"Refer to ""Système international d’unités/International System of Units""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Single Phase (electric),"In the context of power, a type of electrical distribution that involves a single alternating voltage.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Single Phase (fluids),"In the context of cooling, particularly liquid cooling, ""single phase"" refers to a cooling process where the coolant remains in the same state (liquid) throughout the entire cooling cycle.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Single-phase Immersion Cooling (1PIC/SPIC),A type of immersion cooling that uses a dielectric fluid that remains in a liquid state throughout the cooling process.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
SKU (Stock Keeping Unit),"Refer to ""Stock Keeping Unit""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
SoW (Statement of Warranties),"Refer to ""Statement of Warranties""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
SoW (Statement of Work),"Refer to ""Statement of Work""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Specific Heat,The amount of thermal energy (Joules) which is required to be added to 1 kg of a substance to achieve a 1°K temperature increase.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Specific Target Organ Toxicity (STOT),Indicates which bodily organs are most likely to be affected by exposure to a substance.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
SPIC (Single-phase Immersion Cooling),"Refer to ""Single-phase Immersion Cooling""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Spillage,"In the context of immersion cooling and liquid cooling systems, spillage refers to any accidental leakage or overflow of the cooling liquid from its containment.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Spray Cooling,A method of cooling electronic components by spraying a liquid coolant directly onto the components to absorb and dissipate heat.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Statement of Warranties (SoWs),"In the context of product sales and services, a Statement of Warranties (SoW) is a written document that outlines the specific guarantees provided by the manufacturer or seller regarding the condition, functionality, and life span of a product. Each statement must have a definition, a set of conditions, a specific event to begin Warranty coverage and a time period.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
Statement of Work (SoW),"A Statement of Work (SoW) is a formal document that captures and defines the work activities, deliverables, and timeline a vendor must execute in performance of specified work for a client.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Stock Keeping Unit (SKU),A Stock Keeping Unit (SKU) is a unique alphanumeric code that is used to identify a product or service for inventory management purposes.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
STOT (Specific Target Organ Toxicity),"Refer to ""Specific Target Organ Toxicity""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Sulfur hexafluoride (SF6),"An inorganic, colorless, odorless, non-flammable, extremely potent greenhouse gas, which is an excellent electrical insulator.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Supplier,"A company, person, etc. that provides things that people want or need, especially over a long period of time.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Sustainability (in context of Data Centers only),Sustainability in the context of data centers refers to practices and initiatives that make the operation and construction of data centers more efficient and/or environmentally friendly.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
System Integrator (SI),A System Integrator (SI) is a company or individual that specializes in bringing together different subsystems into a whole and ensuring that those subsystems function together effectively., ,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
System Operator,"A System Operator is an individual or team responsible for the daily operation, maintenance, monitoring and continuity of a system.", ,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
Système international d’unités/International System of Units (SI),"The world's most widely used system of measurement for both everyday commerce and science. It is a decimal system of measurement, meaning it is based on powers of 10, which facilitates its use in calculations and conversions.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
TC (Technical Committee),"Refer to ""Technical Committee""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
TCE (Total Cost to the Environment),"Refer to ""Total Cost to the Environment""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
TCO (Total cost of ownership),"Refer to ""Total cost of ownership""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
TCS (Technology Cooling System),"Refer to ""Technology Cooling System""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
TDP (Thermal design power),"Refer to ""Thermal design power""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
TDS (Technical Data Sheet),"Refer to ""Technical Data Sheet""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Technical Committee (TC),"A group of professionals, usually comprised of experts in a particular field, tasked with specific duties related to technical or technological issues.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Technical Data Sheet (TDS),A document that lists all required technical information for chemicals.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Technology Cooling System (TCS),A closed liquid circuit which allows the transfer of heat from an immersion system to the FWS.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Temperature Gradient,"The change in temperature across a distance or through a material, which can affect the rate of heat transfer.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Terawatt (TW),a measure of 1 000 000 000 (Billion) watts of electrical power.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Terawatt-hour (TWh),a measure of electrical energy equivalent to a power consumption of 1 000 000 000 (billion) watts of electrical power for 1 hour.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
TGG (The Green Grid),"Refer to ""The Green Grid""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
The Green Grid (TGG),"A US, not for profit, open industry consortium of end users, policy makers, technology providers, facility architects, and utility companies. An affiliate member organization of the Information Technology Industry Council (ITI).",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Thermal Conductivity,A measure of a material's ability to transfer heat through itself.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Thermal design power (TDP),"Thermal Design Power (TDP) is a metric used by manufacturers of computing components, primarily CPUs and GPUs, to specify the amount of heat a component is expected to generate under maximum or high load conditions.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Thermal Expansion,The change in the size or shape of a material in response to changes in temperature.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Thermal Grease,A type of thermal interface material that is applied as a viscous paste between two surfaces.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Thermal Interface Material (TIM),A substance applied between two surfaces to improve their thermal contact and enhance heat transfer.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
